alimento_id;nome_alimento;umidade;energia_kcal;energia_kj;proteina;lipidios;colesterol;carboidrato;fibra_alimentar;calcio;magnesio;manganes;fosforo;ferro;sodio;potassio;cobre;zinco;retinol;vitamina_a_re;vitamina_a_rae;tiamina;riboflavina;piridoxina;niacina;vitamina_c;categoria;subcategoria;criado_por_usuario;ativo
1;"Arroz, integral, cozido";70.14;123.53;516.87;2.59;1.00;\N;25.81;2.75;5.20;58.70;0.63;105.85;0.26;1.24;75.15;0.02;0.68;\N;\N;\N;0.08;\N;0.08;\N;\N;1;10;FALSE;TRUE
2;"Arroz, integral, cru";12.18;359.68;1504.89;7.32;1.86;\N;77.45;4.82;7.82;109.71;2.99;250.87;0.95;1.65;173.34;0.07;1.40;\N;\N;\N;0.26;\N;0.18;4.18;\N;1;10;FALSE;TRUE
3;"Arroz, tipo 1, cozido";69.11;128.26;536.63;2.52;0.23;\N;28.06;1.56;3.54;2.25;0.30;17.95;0.08;1.20;14.67;0.02;0.49;\N;\N;\N;\N;\N;\N;\N;\N;1;10;FALSE;TRUE
4;"Arroz, tipo 1, cru";13.22;357.79;1496.99;7.16;0.34;\N;78.76;1.64;4.41;30.38;1.03;104.21;0.68;1.02;62.50;0.11;1.22;\N;\N;\N;0.16;\N;0.07;1.12;\N;1;10;FALSE;TRUE
5;"Arroz, tipo 2, cozido";68.73;130.12;544.42;2.57;0.36;\N;28.19;1.07;3.33;6.05;0.37;21.52;0.05;1.96;20.20;0.04;0.55;\N;\N;\N;\N;\N;\N;\N;\N;1;10;FALSE;TRUE
6;"Arroz, tipo 2, cru";13.16;358.12;1498.36;7.24;0.28;\N;78.88;1.72;4.83;29.24;0.83;82.04;0.60;0.57;57.28;0.05;1.27;\N;\N;\N;0.16;\N;0.05;0.92;\N;1;10;FALSE;TRUE
7;"Aveia, flocos, crua";9.13;393.82;1647.75;13.92;8.50;\N;66.64;9.13;47.89;118.76;1.89;153.40;4.45;4.63;336.33;0.44;2.63;\N;\N;\N;0.55;0.03;\N;4.47;1.35;1;11;FALSE;TRUE
8;"Biscoito, doce, maisena";3.22;442.82;1852.76;8.07;11.97;\N;75.23;2.10;54.45;37.14;0.78;166.10;1.76;352.03;141.64;0.17;1.03;\N;\N;\N;1.01;0.42;0.23;3.91;6.22;10;18;FALSE;TRUE
9;"Biscoito, doce, recheado com chocolate";2.18;471.82;1974.11;6.40;19.58;\N;70.55;2.96;27.23;47.98;0.59;139.45;2.27;239.20;232.40;0.27;0.99;\N;\N;\N;0.32;0.39;0.46;2.52;3.53;10;18;FALSE;TRUE
10;"Biscoito, doce, recheado com morango";2.73;471.17;1971.40;5.72;19.57;\N;71.01;1.53;35.78;27.10;0.00;137.74;1.48;229.82;113.01;0.13;0.73;\N;\N;\N;0.90;0.42;0.21;1.50;\N;10;18;FALSE;TRUE
11;"Biscoito, doce, wafer, recheado de chocolate";1.17;502.46;2102.28;5.56;24.67;\N;67.54;1.80;23.34;47.85;0.44;124.20;2.44;137.24;240.45;0.26;0.87;\N;\N;\N;0.37;0.03;0.30;1.12;\N;10;18;FALSE;TRUE
12;"Biscoito, doce, wafer, recheado de morango";1.17;513.45;2148.26;4.52;26.40;1.27;67.35;0.82;13.71;18.54;0.28;73.16;1.09;119.90;74.84;0.08;0.51;\N;\N;\N;0.36;\N;0.94;0.37;\N;10;18;FALSE;TRUE
13;"Biscoito, salgado, cream cracker";4.06;431.73;1806.37;10.06;14.44;\N;68.73;2.51;20.00;39.75;0.69;148.26;2.20;854.36;180.61;0.18;1.14;\N;\N;\N;0.71;0.13;0.17;7.14;\N;1;75;FALSE;TRUE
14;"Bolo, mistura para";1.00;418.63;1751.56;6.16;6.13;\N;84.71;1.70;58.88;27.92;0.46;332.66;1.21;462.88;75.36;0.15;0.58;\N;\N;\N;0.18;\N;1.50;1.52;\N;10;20;FALSE;TRUE
15;"Bolo, pronto, aipim";34.13;323.85;1355.00;4.42;12.75;73.20;47.86;0.69;85.02;10.34;0.11;122.19;0.49;111.01;134.82;0.05;0.42;\N;\N;\N;0.13;0.07;\N;\N;\N;10;20;FALSE;TRUE
16;"Bolo, pronto, chocolate";19.28;410.01;1715.50;6.22;18.47;76.80;54.72;1.43;74.58;27.69;0.38;196.98;2.13;283.30;211.76;0.05;0.71;\N;\N;\N;0.13;0.09;0.05;\N;\N;10;20;FALSE;TRUE
17;"Bolo, pronto, coco";29.32;333.44;1395.10;5.67;11.30;63.21;52.28;1.06;57.11;16.25;0.40;303.40;0.85;190.34;143.29;0.09;0.68;\N;\N;\N;0.15;0.06;\N;\N;\N;10;20;FALSE;TRUE
18;"Bolo, pronto, milho";36.69;311.39;1302.84;4.80;12.42;81.69;45.11;0.71;82.58;10.25;0.11;128.20;0.65;133.81;118.43;0.04;0.44;56.89;\N;\N;0.11;0.05;\N;\N;\N;10;20;FALSE;TRUE
19;"Canjica, branca, crua";13.56;357.60;1496.21;7.20;0.97;\N;78.06;5.50;1.96;12.33;0.09;48.50;0.32;0.79;92.95;0.05;0.36;\N;\N;\N;\N;\N;\N;\N;\N;1;70;FALSE;TRUE
20;"Canjica, com leite integral";72.49;112.46;470.52;2.36;1.24;1.35;23.63;1.22;42.56;5.84;0.02;40.58;0.06;27.59;69.81;0.03;0.28;\N;\N;\N;\N;0.04;\N;\N;\N;10;3;FALSE;TRUE
21;"Cereais, milho, flocos, com sal";9.29;369.60;1546.41;7.29;1.60;\N;80.84;5.29;1.81;20.10;\N;90.77;0.52;271.74;68.66;\N;0.61;\N;\N;\N;0.12;\N;0.06;\N;\N;1;70;FALSE;TRUE
22;"Cereais, milho, flocos, sem sal";11.22;363.34;1520.21;6.88;1.18;\N;80.45;1.84;1.97;16.55;\N;58.36;1.69;30.97;28.70;0.24;0.33;\N;\N;\N;0.05;\N;0.04;\N;\N;1;70;FALSE;TRUE
23;"Cereais, mingau, milho, infantil";4.70;394.43;1650.28;6.43;1.09;\N;87.27;3.21;218.81;16.03;0.11;169.16;3.03;399.40;82.02;0.04;0.36;21.42;\N;\N;3.72;0.47;5.08;24.16;109.37;1;31;FALSE;TRUE
24;"Cereais, mistura para vitamina, trigo, cevada e aveia";4.37;381.13;1594.66;8.90;2.12;\N;81.62;4.98;584.25;72.27;2.28;515.04;12.64;1163.26;244.36;0.21;2.02;\N;\N;\N;0.76;0.88;1.49;7.46;13.11;1;31;FALSE;TRUE
25;"Cereal matinal, milho";5.53;365.35;1528.64;7.16;0.96;\N;83.82;4.12;142.92;10.93;0.06;100.80;3.05;654.54;83.09;0.06;7.63;\N;30.92;15.46;0.76;1.02;2.25;11.04;17.29;1;31;FALSE;TRUE
26;"Cereal matinal, milho, açúcar";4.27;376.56;1575.51;4.74;0.67;\N;88.84;2.11;56.42;7.94;0.13;43.18;3.90;405.31;51.60;0.04;8.48;\N;30.92;15.46;0.73;1.11;0.79;10.13;14.55;1;31;FALSE;TRUE
27;"Creme de arroz, pó";7.33;386.00;1615.03;7.03;1.23;\N;83.87;1.07;7.09;50.50;1.24;153.02;0.63;1.03;114.68;0.04;1.86;\N;\N;\N;0.22;\N;0.05;\N;\N;1;43;FALSE;TRUE
28;"Creme de milho, pó";5.65;333.03;1393.42;4.82;1.64;\N;86.15;3.72;323.16;30.06;0.20;303.27;4.26;593.79;165.72;0.04;0.78;\N;\N;\N;0.74;\N;2.05;\N;96.34;1;70;FALSE;TRUE
29;"Curau, milho verde";81.56;78.43;328.17;2.36;1.64;4.74;13.94;0.46;52.60;15.96;0.06;74.66;0.45;20.51;161.84;0.03;0.40;12.07;\N;\N;0.04;0.07;\N;\N;\N;10;3;FALSE;TRUE
30;"Curau, milho verde, mistura para";3.92;402.29;1683.17;2.22;13.37;\N;79.82;2.52;30.88;8.50;0.05;44.62;0.86;222.93;55.34;0.03;0.24;\N;\N;\N;0.13;\N;\N;\N;\N;10;3;FALSE;TRUE
31;"Farinha, de arroz, enriquecida";12.69;363.06;1519.03;1.27;0.30;\N;85.50;0.58;1.12;4.30;0.04;35.96;31.38;17.10;12.54;\N;8.48;\N;\N;\N;3.23;\N;3.47;24.42;173.59;1;43;FALSE;TRUE
32;"Farinha, de centeio, integral";10.78;335.78;1404.89;12.52;1.75;\N;73.30;15.48;33.92;120.23;3.86;339.99;4.73;41.38;333.62;0.56;2.66;\N;\N;\N;0.29;0.03;0.08;\N;\N;1;43;FALSE;TRUE
33;"Farinha, de milho, amarela";11.77;350.59;1466.86;7.19;1.47;\N;79.08;5.49;1.29;30.96;\N;84.22;2.25;44.93;57.85;0.27;0.60;\N;18.00;9.00;0.25;\N;0.25;\N;\N;1;43;FALSE;TRUE
34;"Farinha, de rosca";9.81;370.58;1550.50;11.38;1.46;\N;75.79;4.82;35.30;56.88;1.62;194.96;6.73;332.50;212.14;0.26;1.67;\N;\N;\N;0.25;\N;0.09;\N;\N;1;43;FALSE;TRUE
35;"Farinha, de trigo";12.98;360.47;1508.22;9.79;1.37;\N;75.09;2.35;17.86;31.00;0.46;114.74;0.95;0.74;151.37;0.15;0.83;\N;\N;\N;0.31;\N;\N;0.89;\N;1;43;FALSE;TRUE
36;"Farinha, láctea, de cereais";2.70;414.85;1735.73;11.88;5.79;11.27;77.77;1.94;196.06;57.69;1.49;296.44;8.72;125.07;365.60;0.19;1.73;492.25;\N;\N;1.43;1.13;1.14;9.50;24.31;1;31;FALSE;TRUE
37;"Lasanha, massa fresca, cozida";59.65;163.76;685.19;5.81;1.16;\N;32.52;1.64;9.97;3.54;0.20;42.38;1.19;206.77;53.91;0.07;0.41;\N;\N;\N;0.04;\N;\N;3.96;\N;1;67;FALSE;TRUE
38;"Lasanha, massa fresca, crua";44.99;220.31;921.76;7.01;1.34;\N;45.06;1.61;16.55;12.59;0.34;81.96;1.87;666.71;136.61;0.10;0.76;\N;\N;\N;0.08;\N;\N;\N;\N;1;67;FALSE;TRUE
39;"Macarrão, instantâneo";5.97;435.86;1823.66;8.79;17.24;\N;62.43;5.61;17.63;19.37;0.25;112.15;0.80;1515.53;147.92;0.10;0.50;\N;\N;\N;1.18;0.04;0.53;9.37;\N;1;67;FALSE;TRUE
40;"Macarrão, trigo, cru";10.24;371.12;1552.78;10.00;1.30;\N;77.94;2.93;17.30;27.69;0.53;99.81;0.88;7.17;147.06;0.15;0.78;\N;\N;\N;0.18;0.02;\N;3.57;\N;1;67;FALSE;TRUE
41;"Macarrão, trigo, cru, com ovos";10.56;370.57;1550.45;10.32;1.97;17.57;76.62;2.30;19.45;\N;0.40;118.48;0.92;14.74;134.10;0.14;0.81;\N;\N;\N;0.11;0.05;0.03;4.37;\N;1;67;FALSE;TRUE
42;"Milho, amido, cru";12.18;361.37;1511.96;0.60;\N;\N;87.15;0.74;1.06;3.03;0.02;12.60;0.13;8.08;8.54;0.02;0.08;\N;\N;\N;\N;\N;\N;\N;\N;1;70;FALSE;TRUE
43;"Milho, fubá, cru";11.45;353.48;1478.97;7.21;1.90;\N;78.87;4.71;2.67;41.23;0.34;107.84;0.85;\N;168.33;0.08;1.09;\N;26.00;13.00;0.25;\N;\N;0.75;\N;1;70;FALSE;TRUE
44;"Milho, verde, cru";63.54;138.17;578.09;6.59;0.61;\N;28.56;3.92;1.61;32.58;0.12;112.71;0.41;1.12;184.82;0.05;0.52;\N;32.00;16.00;0.30;\N;0.04;\N;\N;1;70;FALSE;TRUE
45;"Milho, verde, enlatado, drenado";76.22;97.56;408.21;3.23;2.35;\N;17.14;4.64;2.17;20.38;0.09;61.31;0.59;260.35;162.02;0.05;0.50;\N;48.00;24.00;\N;0.05;\N;3.74;1.74;1;70;FALSE;TRUE
46;"Mingau tradicional, pó";8.14;373.42;1562.40;0.58;0.37;\N;89.34;0.88;522.05;4.28;\N;273.32;41.99;14.86;\N;\N;15.21;1533.24;\N;\N;3.41;\N;3.11;19.39;\N;1;31;FALSE;TRUE
47;"Pamonha, barra para cozimento, pré-cozida";61.31;171.22;716.38;2.55;4.85;\N;30.68;2.37;4.16;15.35;0.12;54.59;0.36;131.99;125.35;0.03;0.42;\N;\N;\N;\N;\N;\N;\N;\N;1;70;FALSE;TRUE
48;"Pão, aveia, forma";19.92;343.09;1435.47;12.35;5.69;\N;59.57;5.98;108.69;56.68;1.08;182.20;4.73;605.76;210.08;0.14;1.73;\N;\N;\N;0.09;0.03;0.08;\N;\N;1;75;FALSE;TRUE
49;"Pão, de soja";26.03;308.73;1291.71;11.34;3.58;\N;56.51;5.71;90.24;48.32;0.57;153.18;3.33;662.54;296.35;0.16;1.46;\N;\N;\N;0.07;0.04;0.79;\N;\N;1;75;FALSE;TRUE
50;"Pão, glúten, forma";40.67;252.99;1058.53;11.95;2.73;\N;44.12;2.48;155.72;24.24;0.51;105.26;5.71;22.05;64.73;0.06;1.28;\N;\N;\N;0.04;0.03;\N;\N;\N;1;75;FALSE;TRUE
51;"Pão, milho, forma";30.42;292.01;1221.78;8.30;3.11;5.69;56.40;4.30;77.85;29.42;0.37;110.10;3.04;506.64;89.02;0.10;0.82;\N;\N;\N;0.08;\N;0.08;\N;\N;1;75;FALSE;TRUE
52;"Pão, trigo, forma, integral";34.72;253.19;1059.36;9.43;3.65;\N;49.94;6.88;131.76;60.43;1.62;193.44;2.99;506.10;162.87;0.15;1.59;\N;\N;\N;0.08;0.04;0.15;\N;\N;1;75;FALSE;TRUE
53;"Pão, trigo, francês";28.48;299.81;1254.41;7.95;3.10;\N;58.65;2.31;15.75;25.46;0.46;94.74;1.00;647.67;142.20;0.13;0.76;2.99;\N;\N;0.39;0.67;0.60;2.34;\N;1;75;FALSE;TRUE
54;"Pão, trigo, sovado";25.76;310.96;1301.08;8.40;2.84;16.56;61.45;2.43;51.62;22.22;0.31;100.66;2.27;430.79;91.17;\N;2.66;\N;\N;\N;0.08;0.04;0.15;\N;\N;1;75;FALSE;TRUE
55;"Pastel, de carne, cru";34.40;288.70;1207.93;10.74;8.79;18.20;42.02;1.04;16.69;17.71;0.34;117.38;1.99;1309.27;165.61;0.11;1.66;\N;\N;\N;0.06;0.03;\N;1.58;\N;1;67;FALSE;TRUE
56;"Pastel, de carne, frito";22.92;388.37;1624.96;10.10;20.14;25.34;43.77;0.99;12.55;14.44;0.22;90.03;2.51;1039.89;155.64;0.12;1.15;\N;\N;\N;0.06;0.05;\N;1.83;\N;1;67;FALSE;TRUE
57;"Pastel, de queijo, cru";31.28;308.47;1290.66;9.85;9.63;14.35;45.95;1.11;154.70;15.81;0.24;168.12;0.99;984.57;102.58;0.10;0.97;\N;\N;\N;0.07;0.03;\N;\N;\N;1;67;FALSE;TRUE
58;"Pastel, de queijo, frito";17.54;422.11;1766.12;8.71;22.67;0.00;48.13;0.94;126.13;14.74;0.20;123.81;1.34;821.38;123.75;0.10;0.76;17.58;\N;\N;0.09;0.04;\N;\N;\N;1;67;FALSE;TRUE
59;"Pastel, massa, crua";27.07;310.20;1297.89;6.90;5.48;\N;57.38;1.41;12.61;14.43;0.38;72.55;1.06;1344.20;166.68;0.11;0.61;\N;\N;\N;0.15;\N;\N;\N;\N;1;67;FALSE;TRUE
60;"Pastel, massa, frita";0.97;569.67;2383.51;6.02;40.86;\N;49.34;1.31;11.27;12.74;0.36;62.36;1.45;1174.67;142.55;0.08;0.52;\N;\N;\N;0.16;\N;\N;\N;\N;1;67;FALSE;TRUE
61;"Pipoca, com óleo de soja, sem sal";2.82;448.33;1875.83;9.93;15.94;\N;70.31;14.34;2.83;90.76;0.65;225.13;1.16;4.32;255.96;0.46;2.05;\N;\N;\N;0.03;0.03;\N;\N;\N;1;70;FALSE;TRUE
62;"Polenta, pré-cozida";72.74;102.74;429.87;2.29;0.30;\N;23.31;2.40;1.09;4.43;\N;16.79;\N;441.89;99.64;0.04;0.05;\N;\N;\N;0.04;\N;\N;\N;\N;1;70;FALSE;TRUE
63;"Torrada, pão francês";9.05;377.42;1579.13;10.52;3.30;\N;74.56;3.40;18.74;31.60;0.55;113.92;1.24;829.49;189.49;0.16;0.91;\N;\N;\N;0.38;\N;\N;\N;\N;1;75;FALSE;TRUE
64;"Abóbora, cabotian, cozida";86.35;48.04;201.02;1.44;0.73;\N;10.76;2.46;7.63;9.11;0.26;32.60;0.35;1.45;199.10;0.06;0.29;\N;\N;\N;0.08;\N;0.07;\N;7.46;2;1;FALSE;TRUE
65;"Abóbora, cabotian, crua";88.52;38.60;161.50;1.75;0.54;\N;8.36;2.17;17.96;8.82;0.11;25.77;0.37;\N;350.56;0.06;0.32;\N;446.00;223.00;\N;\N;0.10;\N;5.09;2;1;FALSE;TRUE
66;"Abóbora, menina brasileira, crua";95.69;13.61;56.93;0.61;\N;\N;3.30;1.17;8.74;4.09;0.01;11.62;0.15;\N;164.60;0.02;\N;\N;1108.00;554.00;0.07;\N;0.04;\N;1.50;2;1;FALSE;TRUE
67;"Abóbora, moranga, crua";95.87;12.36;51.73;0.96;0.06;\N;2.67;1.70;3.05;1.85;0.01;7.91;\N;\N;124.87;0.05;0.07;\N;278.00;139.00;\N;\N;0.06;\N;9.65;2;1;FALSE;TRUE
68;"Abóbora, moranga, refogada";92.46;29.00;121.35;0.39;0.80;\N;5.98;1.55;19.08;7.49;0.02;11.65;0.11;3.03;183.19;0.04;0.08;\N;95.33;47.67;0.05;\N;0.05;\N;6.73;2;1;FALSE;TRUE
69;"Abóbora, pescoço, crua";92.49;24.47;102.37;0.67;0.12;\N;6.12;2.30;8.81;7.42;0.07;31.62;0.28;0.75;263.88;0.09;0.18;\N;\N;\N;\N;\N;0.06;\N;2.09;2;1;FALSE;TRUE
70;"Abobrinha, italiana, cozida";95.28;15.04;62.92;1.13;0.20;\N;2.98;1.59;16.73;16.86;0.11;22.49;0.16;0.83;125.88;0.01;0.26;\N;\N;\N;0.05;\N;0.06;\N;2.13;2;2;FALSE;TRUE
71;"Abobrinha, italiana, crua";93.86;19.28;80.66;1.14;0.14;\N;4.29;1.35;15.13;19.95;0.09;32.02;0.24;\N;253.38;0.05;0.17;\N;40.50;20.25;\N;0.06;0.03;\N;6.87;2;2;FALSE;TRUE
72;"Abobrinha, italiana, refogada";93.49;24.43;102.21;1.07;0.82;\N;4.19;1.38;20.67;12.67;0.14;31.83;0.36;2.21;193.63;0.02;0.27;\N;41.58;20.79;0.04;\N;\N;\N;7.53;2;2;FALSE;TRUE
73;"Abobrinha, paulista, crua";90.85;30.81;128.91;0.64;0.14;\N;7.87;2.61;18.67;9.39;0.11;32.75;0.17;0.50;212.87;0.10;0.18;\N;\N;\N;\N;\N;0.03;\N;17.55;2;2;FALSE;TRUE
74;"Acelga, crua";93.19;20.94;87.62;1.44;0.11;\N;4.63;1.12;42.99;10.40;0.11;40.03;0.27;1.18;239.82;0.10;0.31;\N;\N;\N;0.04;\N;0.16;\N;22.55;2;95;FALSE;TRUE
75;"Agrião, cru";93.94;16.58;69.37;2.69;0.24;\N;2.25;2.14;132.53;18.16;0.28;50.59;3.11;7.46;217.66;0.10;0.72;\N;458.00;229.00;0.11;0.23;0.09;1.19;60.10;2;95;FALSE;TRUE
76;"Aipo, cru";93.83;19.09;79.88;0.76;0.07;\N;4.27;0.96;65.22;8.86;0.18;28.05;0.72;9.52;273.60;0.31;0.14;\N;916.00;458.00;\N;\N;0.18;\N;5.88;2;95;FALSE;TRUE
77;"Alface, americana, crua";97.17;8.79;36.80;0.61;0.13;\N;1.75;1.02;14.44;5.74;0.12;19.38;0.27;7.31;136.00;0.02;0.23;\N;\N;\N;0.03;\N;0.04;\N;10.96;2;8;FALSE;TRUE
78;"Alface, crespa, crua";96.09;10.68;44.69;1.35;0.16;\N;1.70;1.83;37.98;10.97;0.20;25.81;0.40;3.38;267.13;0.03;0.25;\N;234.00;117.00;0.11;0.12;\N;1.09;15.58;2;8;FALSE;TRUE
79;"Alface, lisa, crua";95.00;13.82;57.83;1.69;0.12;\N;2.43;2.33;27.51;9.11;0.33;26.13;0.61;4.23;348.71;0.03;0.35;\N;368.00;184.00;0.09;0.08;0.07;0.75;21.39;2;8;FALSE;TRUE
80;"Alface, roxa, crua";95.73;12.72;53.21;0.91;0.19;\N;2.49;2.01;33.83;9.31;0.12;51.13;2.48;7.12;308.44;0.04;0.23;\N;312.42;156.21;\N;\N;\N;\N;13.47;2;8;FALSE;TRUE
81;"Alfavaca, crua";90.21;29.18;122.10;2.66;0.48;\N;5.24;4.14;258.50;84.24;0.15;49.74;1.26;4.55;260.72;0.15;0.71;\N;\N;\N;\N;0.12;0.56;\N;\N;2;95;FALSE;TRUE
82;"Alho, cru";67.55;113.13;473.34;7.01;0.22;\N;23.91;4.32;13.56;21.29;0.24;149.09;0.80;5.36;534.89;0.15;0.82;\N;\N;\N;0.18;\N;0.44;\N;\N;13;41;FALSE;TRUE
83;"Alho-poró, cru";90.95;31.51;131.83;1.41;0.14;\N;6.88;2.51;33.62;10.69;0.10;36.49;0.64;1.76;224.47;0.29;0.24;\N;16.17;8.08;0.06;\N;0.08;0.34;14.15;2;95;FALSE;TRUE
84;"Almeirão, cru";93.67;18.03;75.46;1.77;0.22;\N;3.34;2.59;19.50;21.11;0.17;39.66;0.74;2.35;369.12;0.10;0.29;\N;566.00;283.00;0.10;0.18;\N;0.63;1.69;2;95;FALSE;TRUE
85;"Almeirão, refogado";86.54;65.08;272.30;1.70;4.85;\N;5.70;3.43;63.40;17.28;0.28;30.87;1.55;14.52;315.36;0.06;0.19;\N;\N;\N;0.03;0.06;0.05;4.03;1.47;2;95;FALSE;TRUE
86;"Batata, baroa, cozida";79.26;80.12;335.22;0.85;0.17;\N;18.95;1.76;11.85;7.58;0.22;29.48;0.42;2.10;258.33;0.15;0.38;\N;\N;\N;0.06;\N;\N;1.98;17.10;5;13;FALSE;TRUE
87;"Batata, baroa, crua";73.69;100.98;422.52;1.05;0.17;\N;23.98;2.06;17.13;11.99;0.07;45.20;0.30;\N;505.18;0.05;0.20;\N;24.50;12.25;0.05;\N;0.12;\N;7.55;5;13;FALSE;TRUE
88;"Batata, doce, cozida";80.43;76.76;321.16;0.64;0.09;\N;18.42;2.21;17.15;11.16;0.14;15.39;0.19;2.70;148.44;0.06;0.12;\N;\N;\N;0.08;\N;0.05;2.57;23.79;5;13;FALSE;TRUE
89;"Batata, doce, crua";69.51;118.24;494.72;1.26;0.13;\N;28.20;2.57;21.11;16.89;0.18;36.46;0.39;8.77;340.20;0.11;0.20;\N;\N;\N;0.06;\N;0.10;\N;16.48;5;13;FALSE;TRUE
90;"Batata, frita, tipo chips, industrializada";2.70;542.73;2270.80;5.58;36.62;\N;51.22;2.46;11.60;24.24;0.23;96.50;0.70;607.40;1014.33;0.12;0.59;\N;\N;\N;0.20;\N;0.13;2.61;\N;5;13;FALSE;TRUE
91;"Batata, inglesa, cozida";86.36;51.59;215.85;1.16;\N;\N;11.94;1.34;3.52;5.43;0.07;24.34;0.19;2.29;161.33;0.06;0.19;\N;\N;\N;0.05;\N;0.08;\N;3.76;5;13;FALSE;TRUE
92;"Batata, inglesa, crua";82.87;64.37;269.33;1.77;\N;\N;14.69;1.16;3.55;14.58;0.10;38.54;0.36;\N;302.05;0.09;0.24;\N;\N;\N;0.10;\N;0.15;\N;31.08;5;13;FALSE;TRUE
93;"Batata, inglesa, frita";44.12;267.16;1117.79;4.97;13.11;\N;35.64;8.06;6.28;14.11;0.15;69.67;0.44;1.91;488.94;0.10;0.38;\N;\N;\N;0.17;\N;0.10;2.51;16.34;5;13;FALSE;TRUE
94;"Batata, inglesa, sauté";83.09;67.89;284.04;1.29;0.90;\N;14.09;1.38;4.18;6.46;0.08;31.97;0.25;8.18;199.48;0.05;0.21;\N;\N;\N;0.07;\N;0.09;1.38;\N;5;13;FALSE;TRUE
95;"Berinjela, cozida";94.43;18.85;78.85;0.68;0.15;\N;4.47;2.52;10.77;8.82;0.11;15.03;0.22;1.33;105.48;0.04;0.13;\N;\N;\N;0.04;\N;\N;\N;\N;2;2;FALSE;TRUE
96;"Berinjela, crua";93.80;19.63;82.12;1.22;0.10;\N;4.43;2.87;9.22;12.91;0.10;20.46;0.25;\N;204.55;0.06;0.12;\N;24.00;12.00;0.04;0.05;\N;\N;3.01;2;2;FALSE;TRUE
97;"Beterraba, cozida";90.57;32.15;134.53;1.29;0.09;\N;7.23;1.88;15.26;16.54;0.19;30.13;0.24;22.76;245.48;0.04;0.35;\N;\N;\N;0.09;\N;\N;\N;1.24;2;17;FALSE;TRUE
98;"Beterraba, crua";85.98;48.83;204.30;1.95;0.09;\N;11.11;3.37;18.11;24.43;1.23;19.39;0.32;9.72;375.07;0.08;0.52;\N;\N;\N;0.04;\N;0.04;\N;3.12;2;17;FALSE;TRUE
99;"Biscoito, polvilho doce";5.44;437.55;1830.71;1.29;12.25;9.39;80.54;1.16;30.45;5.85;0.08;23.32;1.77;97.80;53.58;0.04;0.15;\N;\N;\N;\N;0.03;0.07;\N;\N;1;30;FALSE;TRUE
100;"Brócolis, cozido";92.62;24.64;103.08;2.13;0.46;\N;4.37;3.42;50.75;14.55;0.12;33.16;0.54;2.12;118.54;0.08;0.24;\N;\N;\N;0.04;0.03;\N;\N;42.00;2;21;FALSE;TRUE
101;"Brócolis, cru";91.22;25.50;106.67;3.64;0.27;\N;4.03;2.88;85.87;29.57;0.26;78.46;0.61;3.33;322.11;0.06;0.48;\N;279.33;139.67;0.12;0.18;0.08;1.39;34.28;2;21;FALSE;TRUE
102;"Cará, cozido";78.88;77.58;324.62;1.53;0.11;\N;18.85;2.63;5.17;14.84;0.02;27.80;0.31;1.01;203.25;0.11;0.24;\N;\N;\N;0.12;\N;0.12;\N;\N;5;13;FALSE;TRUE
103;"Cará, cru";73.69;95.63;400.13;2.28;0.14;\N;22.95;7.27;3.91;11.47;0.01;34.72;0.21;\N;211.67;0.06;0.18;\N;\N;\N;0.11;\N;0.02;\N;8.79;5;13;FALSE;TRUE
104;"Caruru, cru";87.62;34.03;142.39;3.20;0.59;\N;5.97;4.47;455.30;197.44;0.89;77.26;4.46;13.67;278.98;0.37;6.03;\N;1906.00;953.00;\N;0.10;0.11;\N;5.36;2;95;FALSE;TRUE
105;"Catalonha, crua";91.76;23.89;99.95;1.87;0.28;\N;4.75;2.05;56.80;17.30;0.34;32.00;3.08;9.39;411.79;0.27;0.48;\N;\N;\N;\N;0.03;0.36;1.54;7.33;2;95;FALSE;TRUE
106;"Catalonha, refogada";87.43;63.45;265.47;1.95;4.81;\N;4.81;3.65;63.22;16.35;0.64;35.36;1.18;24.72;452.28;0.18;0.44;\N;850.00;425.00;0.04;\N;0.03;0.60;\N;2;95;FALSE;TRUE
107;"Cebola, crua";88.92;39.42;164.93;1.71;0.08;\N;8.85;2.19;14.00;11.92;0.13;37.87;0.20;0.60;176.12;0.05;0.17;\N;\N;\N;0.04;\N;0.14;\N;4.67;2;41;FALSE;TRUE
108;"Cebolinha, crua";93.88;19.52;81.65;1.87;0.35;\N;3.37;3.55;79.85;24.59;0.13;26.89;0.65;1.60;206.44;0.04;0.30;\N;134.42;67.21;0.03;0.04;0.08;\N;31.78;2;95;FALSE;TRUE
109;"Cenoura, cozida";91.66;29.86;124.94;0.85;0.22;\N;6.69;2.63;25.62;14.48;0.05;26.74;0.09;7.88;175.51;0.02;0.23;\N;612.00;306.00;0.07;\N;0.06;2.68;\N;5;13;FALSE;TRUE
110;"Cenoura, crua";90.08;34.14;142.82;1.32;0.17;\N;7.66;3.18;22.54;11.23;0.05;27.85;0.18;3.33;314.81;0.05;0.22;\N;1326.00;663.00;\N;\N;0.05;\N;5.12;5;13;FALSE;TRUE
111;"Chicória, crua";95.14;13.84;57.89;1.14;0.14;\N;2.85;2.20;44.83;14.14;0.13;13.38;0.45;13.52;424.90;0.04;0.09;\N;\N;\N;0.03;0.10;\N;0.68;6.54;2;95;FALSE;TRUE
